lens,model,target_fpp,threshold,achieved_fpp,hard_fpp,easy_fpp,efficiency,fpp_ci,efficiency_ci
SIS,pi_resnet,0.01,0.2155829255816507,0.00948,0.008514285714285714,0.011733333333333333,0.8102857142857143,"[0.008491887244575022, 0.01057559706632504]","[0.7982857142857143, 0.8234285714285714]"
SIS,pi_resnet,0.001,0.9981431716530528,0.00085,0.0009714285714285714,0.0005666666666666667,0.5354285714285715,"[0.0006304331077664444, 0.0010915087381691557]","[0.5097142857142857, 0.5628571428571428]"
SIS,pi_resnet,0.0001,0.9999962979827796,4e-05,5.714285714285714e-05,0.0,0.10171428571428572,"[0.0, 0.00010044714045458775]","[0.08628571428571429, 0.11714285714285715]"
SIS,cqt_deit,0.01,0.9023461,0.00999,0.011342857142857142,0.006833333333333334,0.7,"[0.009311828888844804, 0.010624051064213429]","[0.6782857142857143, 0.7217142857142858]"
SIS,cqt_deit,0.001,0.9569708,0.00072,0.0009285714285714286,0.00023333333333333333,0.3274285714285714,"[0.0004690078145204108, 0.0010203571249937477]","[0.30057142857142854, 0.3514285714285714]"
SIS,cqt_deit,0.0001,0.9634211,0.00011,0.00012857142857142858,6.666666666666667e-05,0.116,"[4.000919211198527e-05, 0.00019026446760997786]","[0.09771428571428571, 0.132]"
PM,pi_resnet,0.01,0.9464531614849192,0.00954,0.009114285714285714,0.010533333333333334,0.7571428571428571,"[0.0088062143456424, 0.010323213713553348]","[0.7354285714285714, 0.7765714285714286]"
PM,pi_resnet,0.001,0.9999204273671976,0.00063,0.0007142857142857143,0.0004333333333333333,0.22742857142857142,"[0.0003295468733699225, 0.0010417428361311537]","[0.21085714285714285, 0.24571428571428572]"
PM,pi_resnet,0.0001,0.9999999730573668,0.00016,0.00017142857142857143,0.00013333333333333334,0.027428571428571427,"[4.991805950968773e-05, 0.00032100949489247376]","[0.018857142857142857, 0.038285714285714284]"
PM,cqt_deit,0.01,0.933158,0.00965,0.009414285714285714,0.0102,0.4977142857142857,"[0.008795372600227168, 0.010514339584325709]","[0.48114285714285715, 0.5154285714285715]"
PM,cqt_deit,0.001,0.9579664,0.00085,0.0008285714285714286,0.0009,0.17257142857142857,"[0.0006114659898600783, 0.0011133076370331756]","[0.16114285714285714, 0.184]"
PM,cqt_deit,0.0001,0.96494436,0.00019,0.00018571428571428572,0.0002,0.037714285714285714,"[9.98278469566132e-05, 0.00028958603676326636]","[0.03257142857142857, 0.04285714285714286]"
