lens,model,variable,bin_left,bin_right,n,detected,efficiency,ci_low,ci_high,target_fpp
PM,pi_resnet,y,-inf,0.068,371,150,0.40431266846361186,0.35560240958893297,0.45498417754212683,0.001
PM,pi_resnet,y,0.068,0.126,369,97,0.26287262872628725,0.22056732657474487,0.31006427069040665,0.001
PM,pi_resnet,y,0.126,0.184,374,51,0.13636363636363635,0.10526118900748606,0.17486015911307978,0.001
PM,pi_resnet,y,0.184,0.242,326,57,0.17484662576687116,0.13746766200440239,0.2197993087457912,0.001
PM,pi_resnet,y,0.242,inf,310,43,0.13870967741935483,0.10463678090495603,0.1816270516628849,0.001
PM,cqt_deit,y,-inf,0.068,371,132,0.3557951482479784,0.30878456476470983,0.40576141865815496,0.001
PM,cqt_deit,y,0.068,0.126,369,74,0.2005420054200542,0.16286736789810946,0.24438739207673904,0.001
PM,cqt_deit,y,0.126,0.184,374,41,0.10962566844919786,0.0818436882098315,0.1453454060960701,0.001
PM,cqt_deit,y,0.184,0.242,326,27,0.08282208588957055,0.05754276124501645,0.11781863518919422,0.001
PM,cqt_deit,y,0.242,inf,310,28,0.09032258064516129,0.06323026271944476,0.12744390456730342,0.001
PM,pi_resnet,flux_ratio,-inf,1.13,336,142,0.4226190476190476,0.37096754768908574,0.4760199264688683,0.001
PM,pi_resnet,flux_ratio,1.13,1.284,401,105,0.26184538653366585,0.2212201766467793,0.30699019845565145,0.001
PM,pi_resnet,flux_ratio,1.284,1.437,360,50,0.1388888888888889,0.10696265193512933,0.1784403891511493,0.001
PM,pi_resnet,flux_ratio,1.437,1.618,339,57,0.168141592920354,0.13209772984831442,0.2116222485523292,0.001
PM,pi_resnet,flux_ratio,1.618,inf,314,44,0.14012738853503184,0.10606862848340215,0.1828850503773069,0.001
PM,cqt_deit,flux_ratio,-inf,1.13,336,125,0.37202380952380953,0.3220614445661709,0.42487937807967635,0.001
PM,cqt_deit,flux_ratio,1.13,1.284,401,81,0.20199501246882792,0.16561144753625212,0.2440339956547476,0.001
PM,cqt_deit,flux_ratio,1.284,1.437,360,41,0.11388888888888889,0.085069898850407,0.1508610450803063,0.001
PM,cqt_deit,flux_ratio,1.437,1.618,339,27,0.07964601769911504,0.05531254296078782,0.11339942968002738,0.001
PM,cqt_deit,flux_ratio,1.618,inf,314,28,0.08917197452229299,0.062415201522639206,0.12585935222100206,0.001
PM,pi_resnet,rho_min,-inf,28.439,361,9,0.024930747922437674,0.013170496129892732,0.04669512027043085,0.001
PM,pi_resnet,rho_min,28.439,49.587,352,24,0.06818181818181818,0.04624277744227484,0.09944417818258014,0.001
PM,pi_resnet,rho_min,49.587,76.218,329,75,0.22796352583586627,0.18592466454426637,0.276281754589266,0.001
PM,pi_resnet,rho_min,76.218,134.46,393,120,0.3053435114503817,0.26187604262853675,0.3525795627543415,0.001
PM,pi_resnet,rho_min,134.46,inf,315,170,0.5396825396825397,0.4844933699094309,0.5939155048098983,0.001
PM,cqt_deit,rho_min,-inf,28.439,361,6,0.01662049861495845,0.0076390159106021465,0.03578110106815275,0.001
PM,cqt_deit,rho_min,28.439,49.587,352,17,0.048295454545454544,0.03036897281999707,0.07597461891916044,0.001
PM,cqt_deit,rho_min,49.587,76.218,329,30,0.0911854103343465,0.06461942851959565,0.1271879834743721,0.001
PM,cqt_deit,rho_min,76.218,134.46,393,70,0.178117048346056,0.14346003759900638,0.21900576738052419,0.001
PM,cqt_deit,rho_min,134.46,inf,315,179,0.5682539682539682,0.5130570685759457,0.6218061959413006,0.001
