lens,model,rho1_left,rho1_right,rho2_left,rho2_right,n,detected,efficiency,ci_low,ci_high
PM,pi_resnet,-inf,41.004,-inf,34.723,165,5,0.030303030303030304,0.013011682323943289,0.06896734650803006
PM,pi_resnet,-inf,41.004,34.723,60.71,104,7,0.0673076923076923,0.03298368902967008,0.1324578676387979
PM,pi_resnet,-inf,41.004,60.71,92.524,43,1,0.023255813953488372,0.004117087274333769,0.12058993440607177
PM,pi_resnet,-inf,41.004,92.524,152.118,18,0,0.0,0.0,0.17587922364665765
PM,pi_resnet,-inf,41.004,152.118,inf,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,pi_resnet,41.004,68.675,-inf,34.723,111,4,0.036036036036036036,0.014101302509231785,0.08901005589995212
PM,pi_resnet,41.004,68.675,34.723,60.71,125,12,0.096,0.05577122611489426,0.16031961200143352
PM,pi_resnet,41.004,68.675,60.71,92.524,69,15,0.21739130434782608,0.13640766010620264,0.32818296408760916
PM,pi_resnet,41.004,68.675,92.524,152.118,42,7,0.16666666666666666,0.08315916646398075,0.3060400274464885
PM,pi_resnet,41.004,68.675,152.118,inf,9,2,0.2222222222222222,0.06322510711784671,0.5474110308930111
PM,pi_resnet,68.675,103.87,-inf,34.723,46,2,0.043478260869565216,0.012005445598556624,0.1453225902621907
PM,pi_resnet,68.675,103.87,34.723,60.71,83,9,0.10843373493975904,0.058104915192981194,0.19340466464711883
PM,pi_resnet,68.675,103.87,60.71,92.524,133,46,0.3458646616541353,0.2703801270626437,0.43000307293142337
PM,pi_resnet,68.675,103.87,92.524,152.118,73,22,0.3013698630136986,0.20822590579126068,0.41437365901307077
PM,pi_resnet,68.675,103.87,152.118,inf,21,8,0.38095238095238093,0.20751011368564493,0.5912134622488425
PM,pi_resnet,103.87,172.615,-inf,34.723,20,0,0.0,0.0,0.16112515805281938
PM,pi_resnet,103.87,172.615,34.723,60.71,53,5,0.09433962264150944,0.04097264149725047,0.20253727376296274
PM,pi_resnet,103.87,172.615,60.71,92.524,86,18,0.20930232558139536,0.1366981607462176,0.30676590744316745
PM,pi_resnet,103.87,172.615,92.524,152.118,145,53,0.36551724137931035,0.29154432711473016,0.4464319040442079
PM,pi_resnet,103.87,172.615,152.118,inf,75,22,0.29333333333333333,0.20240140321903244,0.40440445167386063
PM,pi_resnet,172.615,inf,-inf,34.723,4,0,0.0,0.0,0.4898908364545973
PM,pi_resnet,172.615,inf,34.723,60.71,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,pi_resnet,172.615,inf,60.71,92.524,24,4,0.16666666666666666,0.06678676328632951,0.3585307064969906
PM,pi_resnet,172.615,inf,92.524,152.118,67,17,0.2537313432835821,0.16487913818578948,0.3692919453950009
PM,pi_resnet,172.615,inf,152.118,inf,220,139,0.6318181818181818,0.5663317973091555,0.692780166603036
PM,cqt_deit,-inf,41.004,-inf,34.723,165,4,0.024242424242424242,0.009466869080261897,0.06066672786567241
PM,cqt_deit,-inf,41.004,34.723,60.71,104,3,0.028846153846153848,0.009858182902777006,0.08140040102511037
PM,cqt_deit,-inf,41.004,60.71,92.524,43,0,0.0,0.0,0.08200980322579117
PM,cqt_deit,-inf,41.004,92.524,152.118,18,0,0.0,0.0,0.17587922364665765
PM,cqt_deit,-inf,41.004,152.118,inf,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,cqt_deit,41.004,68.675,-inf,34.723,111,2,0.018018018018018018,0.004955178708528081,0.06332555284276006
PM,cqt_deit,41.004,68.675,34.723,60.71,125,12,0.096,0.05577122611489426,0.16031961200143352
PM,cqt_deit,41.004,68.675,60.71,92.524,69,4,0.057971014492753624,0.02277238888037121,0.13979243357661653
PM,cqt_deit,41.004,68.675,92.524,152.118,42,1,0.023809523809523808,0.004215404134432499,0.12321201573766646
PM,cqt_deit,41.004,68.675,152.118,inf,9,0,0.0,0.0,0.2991450484195441
PM,cqt_deit,68.675,103.87,-inf,34.723,46,0,0.0,0.0,0.07707356308558039
PM,cqt_deit,68.675,103.87,34.723,60.71,83,7,0.08433734939759036,0.04145333632101998,0.16399529458616308
PM,cqt_deit,68.675,103.87,60.71,92.524,133,22,0.16541353383458646,0.11184855141915906,0.23776376076308436
PM,cqt_deit,68.675,103.87,92.524,152.118,73,10,0.136986301369863,0.0761438960939413,0.23412427406569902
PM,cqt_deit,68.675,103.87,152.118,inf,21,0,0.0,0.0,0.154639018924847
PM,cqt_deit,103.87,172.615,-inf,34.723,20,0,0.0,0.0,0.16112515805281938
PM,cqt_deit,103.87,172.615,34.723,60.71,53,4,0.07547169811320754,0.0297395550869467,0.17858477483653223
PM,cqt_deit,103.87,172.615,60.71,92.524,86,10,0.11627906976744186,0.06440045821928717,0.20097211179070104
PM,cqt_deit,103.87,172.615,92.524,152.118,145,45,0.3103448275862069,0.24075544374774624,0.3897238566046023
PM,cqt_deit,103.87,172.615,152.118,inf,75,22,0.29333333333333333,0.20240140321903244,0.40440445167386063
PM,cqt_deit,172.615,inf,-inf,34.723,4,0,0.0,0.0,0.4898908364545973
PM,cqt_deit,172.615,inf,34.723,60.71,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,cqt_deit,172.615,inf,60.71,92.524,24,0,0.0,1.3877787807814457e-17,0.13797620467498017
PM,cqt_deit,172.615,inf,92.524,152.118,67,19,0.2835820895522388,0.18970281181710177,0.4009323828448048
PM,cqt_deit,172.615,inf,152.118,inf,220,137,0.6227272727272727,0.5570889798419725,0.6841531934555851
