lens,bin_left,bin_right,n,pi_resnet,pi_resnet_ci,cqt_deit,cqt_deit_ci,delta,delta_ci,resolved
SIS,3.302,41.925,381,0.11548556430446194,"[0.08672047558625876, 0.14516129032258066]",0.03412073490813648,"[0.015789473684210527, 0.05357142857142857]",0.08136482939632546,"[0.045685279187817264, 0.11928934010152284]",True
SIS,41.925,67.281,322,0.3198757763975155,"[0.2631578947368421, 0.3925233644859813]",0.16459627329192547,"[0.1281230945121951, 0.20504934077489279]",0.15527950310559005,"[0.0967741935483871, 0.21630325299347344]",True
SIS,67.281,104.0,366,0.5792349726775956,"[0.5322569350320773, 0.6233766233766234]",0.3879781420765027,"[0.3475783475783476, 0.4318181818181818]",0.1912568306010929,"[0.12593842787385842, 0.25133689839572193]",True
SIS,104.0,174.242,345,0.7681159420289855,"[0.7211538461538461, 0.8081081081081081]",0.4985507246376812,"[0.43768095868963025, 0.5507246376811594]",0.2695652173913043,"[0.19364823348694316, 0.33903133903133903]",True
SIS,174.242,1124.78,328,0.9451219512195121,"[0.9079315476190476, 0.9777795358649789]",0.5853658536585366,"[0.5603432990951333, 0.6091205211726385]",0.3597560975609756,"[0.3058815707133918, 0.4110032362459547]",True
PM,2.9,28.439,359,0.025069637883008356,"[0.014245014245014245, 0.035623409669211195]",0.016713091922005572,"[0.0, 0.0351375155643448]",0.008356545961002784,"[-0.008875739644970414, 0.02425876010781671]",False
PM,28.439,49.587,352,0.06818181818181818,"[0.043076923076923075, 0.09631728045325778]",0.048295454545454544,"[0.029585798816568046, 0.06561923509561302]",0.019886363636363633,"[-0.010840108401084007, 0.05]",False
PM,49.587,76.218,329,0.22796352583586627,"[0.17027863777089783, 0.2988165680473373]",0.0911854103343465,"[0.05572755417956656, 0.12944983818770225]",0.13677811550151975,"[0.05677944269190327, 0.22508203117654801]",True
PM,76.218,134.46,393,0.3053435114503817,"[0.2683544303797468, 0.3439024390243902]",0.178117048346056,"[0.14395886889460155, 0.2188314154418746]",0.1272264631043257,"[0.08068046867557868, 0.17618208828522916]",True
PM,134.46,1001.809,312,0.5352564102564102,"[0.48771929824561405, 0.5782747603833865]",0.5641025641025641,"[0.5077881619937694, 0.6221516467607673]",-0.028846153846153855,"[-0.10403560210607181, 0.04012345679012341]",False
