epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6850396251678467,0.5835,0.6412623133659363,0.643,0.724276,5e-05
2,0.6578501920700073,0.627,0.621968831539154,0.673,0.7314039999999999,4.999865664945505e-05
3,0.6537684850692749,0.62525,0.6240741486549377,0.649,0.727156,4.999462674513372e-05
4,0.6448679342269897,0.6315,0.6358917684555053,0.645,0.72948,4.998791072896043e-05
5,0.647084632396698,0.63275,0.6309640851020814,0.645,0.731168,4.997850933742203e-05
6,0.6446615571975708,0.6345,0.623733452796936,0.662,0.735436,4.996642360148706e-05
7,0.6361999559402466,0.64175,0.6299317369461059,0.654,0.7323879999999999,4.9951654846492654e-05
8,0.6373757109642029,0.64175,0.5833376116752624,0.711,0.810188,4.993420469199922e-05
9,0.582713098526001,0.71875,0.5503251252174377,0.74,0.882088,4.991407505161286e-05
10,0.526405537366867,0.77,0.5324475417137146,0.758,0.85366,4.989126813277546e-05
11,0.5255339028835296,0.783,0.47654612255096435,0.805,0.905624,4.986578643652269e-05
12,0.49656583189964293,0.80875,0.4555745303630829,0.832,0.91504,4.983763275720971e-05
13,0.47382123589515684,0.8195,0.466744277715683,0.817,0.9057080000000001,4.9806810182204715e-05
14,0.47757244849205016,0.814,0.4461368017196655,0.826,0.929688,4.977332209155037e-05
15,0.45500232672691343,0.834,0.4352254419326782,0.837,0.9275040000000001,4.9737172157593216e-05
16,0.45173572421073915,0.83275,0.4112713496685028,0.858,0.937152,4.969836434458088e-05
17,0.4540814356803894,0.83875,0.41979964566230776,0.854,0.935344,4.965690290822737e-05
18,0.44869977045059206,0.83925,0.41463069891929627,0.854,0.93892,4.961279239524642e-05
19,0.4429468946456909,0.8415,0.4169959990978241,0.847,0.936116,4.956603764285288e-05
20,0.4359279475212097,0.841,0.4174136514663696,0.851,0.934764,4.951664377823219e-05
21,0.4422387471199036,0.836,0.40459824466705324,0.861,0.9478159999999999,4.946461621797824e-05
22,0.41927087330818175,0.86275,0.40172198152542116,0.872,0.941596,4.940996066749931e-05
23,0.4216304500102997,0.85675,0.4131584491729736,0.858,0.9421600000000001,4.935268312039243e-05
24,0.4201999201774597,0.85625,0.4009490964412689,0.866,0.9458759999999999,4.929278985778609e-05
25,0.4108916590213776,0.865,0.38001399946212766,0.881,0.95366,4.923028744765147e-05
26,0.4032751333713531,0.8675,0.40279770016670224,0.877,0.9457840000000001,4.9165182744082176e-05
27,0.40734792792797087,0.869,0.39599378633499144,0.865,0.9461680000000001,4.909748288654263e-05
28,0.40172599601745607,0.86825,0.38117912340164184,0.882,0.9537359999999999,4.902719529908511e-05
29,0.401821608543396,0.87625,0.39931633043289183,0.864,0.9509200000000001,4.895432768953565e-05
30,0.4045654470920563,0.86975,0.36990703678131104,0.882,0.960324,4.8878888048648786e-05
31,0.403422287940979,0.87225,0.3928713748455048,0.87,0.949608,4.880088464923127e-05
32,0.3958155794143677,0.87725,0.36565273070335386,0.891,0.962048,4.872032604523486e-05
33,0.39156806445121767,0.8785,0.374792032957077,0.885,0.9573160000000001,4.86372210708183e-05
34,0.39388344049453733,0.878,0.37859431219100953,0.89,0.9598319999999999,4.855157883937853e-05
35,0.39203399229049685,0.88225,0.37218820524215696,0.889,0.959036,4.846340874255135e-05
36,0.38829858660697936,0.878,0.3758046119213104,0.884,0.957008,4.837272044918144e-05
37,0.37976466238498685,0.88925,0.36701086258888244,0.884,0.9634999999999999,4.827952390426216e-05
