epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6853377385139465,0.5795,0.617283084154129,0.68,0.7360639999999999,5e-05
2,0.6536186146736145,0.62925,0.640185961484909,0.664,0.733968,4.999865664945505e-05
3,0.6534595839977264,0.63675,0.6197343883514405,0.676,0.7510960000000001,4.999462674513372e-05
4,0.603383633852005,0.70575,0.46211886167526245,0.829,0.902976,4.998791072896043e-05
5,0.5387102520465851,0.7695,0.47547823667526246,0.823,0.8907159999999998,4.997850933742203e-05
6,0.496071418762207,0.80025,0.4310899214744568,0.855,0.926928,4.996642360148706e-05
7,0.49457486271858214,0.80775,0.43970666265487673,0.834,0.918848,4.9951654846492654e-05
8,0.46520217847824097,0.8225,0.4114594554901123,0.861,0.9363520000000001,4.993420469199922e-05
9,0.45644633650779726,0.83575,0.3952593631744385,0.867,0.947212,4.991407505161286e-05
10,0.45361088585853576,0.83475,0.4085801973342896,0.863,0.940276,4.989126813277546e-05
11,0.43581462001800536,0.85075,0.43582112741470336,0.831,0.930732,4.986578643652269e-05
12,0.436149165391922,0.841,0.4000102586746216,0.864,0.943872,4.983763275720971e-05
13,0.42427469515800476,0.85175,0.3882694602012634,0.871,0.9506,4.9806810182204715e-05
14,0.4274794080257416,0.851,0.41969582986831666,0.847,0.937624,4.977332209155037e-05
15,0.4161381509304047,0.8595,0.395448600769043,0.868,0.953684,4.9737172157593216e-05
16,0.40654790139198305,0.861,0.38970090103149413,0.871,0.9472320000000001,4.969836434458088e-05
17,0.4108906652927399,0.86475,0.3782901635169983,0.881,0.9546479999999999,4.965690290822737e-05
18,0.402345014333725,0.873,0.4019500231742859,0.858,0.949016,4.961279239524642e-05
19,0.4041740210056305,0.8705,0.3920488374233246,0.874,0.952436,4.956603764285288e-05
20,0.3908655340671539,0.87575,0.3835218653678894,0.87,0.956428,4.951664377823219e-05
21,0.39148404479026794,0.87825,0.4153204083442688,0.864,0.9435640000000001,4.946461621797824e-05
22,0.3913699424266815,0.8765,0.4009777674674988,0.867,0.9543539999999999,4.940996066749931e-05
23,0.38444206774234774,0.88375,0.41412489414215087,0.854,0.956808,4.935268312039243e-05
24,0.3886363387107849,0.87775,0.36634484529495237,0.888,0.9610679999999999,4.929278985778609e-05
25,0.3737636513710022,0.8935,0.3742480630874634,0.883,0.958804,4.923028744765147e-05
26,0.3738928301334381,0.8845,0.3660612707138062,0.887,0.9648119999999999,4.9165182744082176e-05
27,0.36966593384742735,0.8925,0.36554147720336916,0.894,0.961056,4.909748288654263e-05
28,0.3737449445724487,0.8895,0.36876138210296633,0.882,0.9651879999999999,4.902719529908511e-05
29,0.3555328662395477,0.904,0.3921217479705811,0.863,0.9542,4.895432768953565e-05
30,0.3681040782928467,0.89125,0.3712822027206421,0.895,0.9638960000000001,4.8878888048648786e-05
31,0.369483497262001,0.89325,0.34976231050491335,0.896,0.968724,4.880088464923127e-05
32,0.35042195677757265,0.90775,0.3811996011734009,0.877,0.9644780000000001,4.872032604523486e-05
33,0.3621559522151947,0.89925,0.37836982202529906,0.879,0.966352,4.86372210708183e-05
34,0.35104007661342623,0.90925,0.35260073375701906,0.901,0.9653839999999999,4.855157883937853e-05
35,0.3507374835014343,0.905,0.34854592609405516,0.903,0.96674,4.846340874255135e-05
36,0.3500411301851273,0.90475,0.352228449344635,0.898,0.9666560000000001,4.837272044918144e-05
37,0.34260114908218386,0.91175,0.367876350402832,0.889,0.968356,4.827952390426216e-05
38,0.34265707874298096,0.91425,0.35785970878601076,0.895,0.968556,4.818382932784488e-05
39,0.3444352449178696,0.908,0.3504077332019806,0.902,0.968236,4.808564721391827e-05
40,0.3368047913312912,0.916,0.3463290791511536,0.905,0.9716,4.798498832925754e-05
41,0.3385247470140457,0.9185,0.3604949700832367,0.885,0.9671200000000001,4.788186371224372e-05
42,0.33765391302108766,0.916,0.36420794200897216,0.881,0.969696,4.777628467165318e-05
43,0.3383480149507523,0.9115,0.38582328462600707,0.883,0.9663120000000001,4.7668262785417475e-05
44,0.3461164518594742,0.91025,0.33577697777748106,0.914,0.973244,4.755780989935374e-05
45,0.3293353776931763,0.922,0.33783517169952393,0.907,0.973968,4.744493812586561e-05
46,0.32905891561508177,0.921,0.33480564165115356,0.914,0.97388,4.7329659842615e-05
47,0.33109553742408754,0.9245,0.35050110387802125,0.907,0.969628,4.721198769116475e-05
48,0.3299864695072174,0.92125,0.36687465572357175,0.897,0.9676400000000001,4.7091934575592297e-05
49,0.3275527536869049,0.92125,0.37920352125167844,0.888,0.9744959999999999,4.696951366107465e-05
50,0.32944737386703493,0.916,0.3495262408256531,0.899,0.971144,4.684473837244464e-05
51,0.3187887412309647,0.92875,0.34670317482948304,0.908,0.969384,4.6717622392718744e-05
52,0.3175372644662857,0.92775,0.35443135356903077,0.908,0.9666279999999999,4.6588179661596617e-05
53,0.31565669465065005,0.9265,0.37921939659118653,0.888,0.9620799999999999,4.645642437393241e-05
54,0.3191130933761597,0.92925,0.33528680992126464,0.914,0.975784,4.6322370978178164e-05
55,0.3290153032541275,0.921,0.33157643127441405,0.907,0.977364,4.6186034174799365e-05
56,0.3142594394683838,0.931,0.33566950750350955,0.914,0.973928,4.604742891466288e-05
57,0.31174943828582763,0.93175,0.3432953419685364,0.906,0.9765039999999999,4.590657039739743e-05
58,0.30881401228904726,0.936,0.3467379322052002,0.91,0.972836,4.5763474069726755e-05
59,0.30968670165538786,0.9315,0.33845472931861875,0.91,0.9741920000000001,4.5618155623775743e-05
60,0.31174522733688353,0.93075,0.3475773692131042,0.908,0.9742200000000001,4.547063099534957e-05
61,0.30714758157730104,0.93525,0.3434062867164612,0.914,0.971152,4.5320916362186205e-05
62,0.3108752338886261,0.9345,0.33777337193489076,0.911,0.9740880000000001,4.51690281421823e-05
63,0.30477441191673277,0.9415,0.34495874619483946,0.903,0.973654,4.50149829915928e-05
64,0.2963545743227005,0.94125,0.39391547870635985,0.894,0.973012,4.48587978032044e-05
65,0.3022642636299133,0.9415,0.36148834276199343,0.902,0.971284,4.470048970448307e-05
66,0.2944102852344513,0.943,0.36372703409194945,0.902,0.96724,4.454007605569578e-05
67,0.30038113629817964,0.9445,0.35099085545539854,0.909,0.9714400000000001,4.437757444800683e-05
68,0.3011426249742508,0.94025,0.3631406588554382,0.897,0.969816,4.421300270154873e-05
69,0.29860978972911834,0.94425,0.36087235736846923,0.909,0.9709279999999999,4.404637886346802e-05
70,0.30314302492141726,0.93675,0.3503047833442688,0.909,0.970644,4.387772120594625e-05
71,0.29305711019039155,0.94725,0.3696800894737244,0.914,0.96324,4.370704822419615e-05
72,0.29492532861232756,0.94475,0.3549150881767273,0.915,0.969076,4.353437863443348e-05
73,0.2916993706226349,0.94425,0.36689539909362795,0.897,0.971752,4.3359731371824576e-05
74,0.29010154223442075,0.94775,0.3484216871261597,0.914,0.969284,4.3183125588409867e-05
75,0.293957729101181,0.94675,0.33554262161254883,0.917,0.974672,4.3004580651003675e-05
76,0.29012345504760745,0.9485,0.36040061902999876,0.91,0.96968,4.282411613907041e-05
77,0.28443284142017367,0.9495,0.35035543179512024,0.909,0.970756,4.2641751842577454e-05
78,0.2788964446783066,0.9545,0.36218273210525515,0.913,0.9588519999999999,4.245750775982496e-05
79,0.29118412983417513,0.94725,0.35014565229415895,0.914,0.9728239999999999,4.227140409525287e-05
80,0.28533175837993624,0.9505,0.36489406156539916,0.908,0.966064,4.208346125722518e-05
81,0.2761674978733063,0.95725,0.3614339351654053,0.91,0.96462,4.189369985579202e-05
82,0.2785106135606766,0.95375,0.36624554061889647,0.904,0.968932,4.1702140700429465e-05
83,0.28326855540275575,0.95075,0.3611872444152832,0.902,0.9681200000000001,4.150880479775758e-05
84,0.2756956077814102,0.95825,0.3676465814113617,0.906,0.9674640000000001,4.131371334923678e-05
85,0.2824835822582245,0.953,0.3663318204879761,0.901,0.9666319999999999,4.1116887748842886e-05
86,0.282602011680603,0.95125,0.3595031108856201,0.903,0.9692,4.0918349580721e-05
87,0.27445420098304746,0.957,0.37884954309463503,0.889,0.9666680000000001,4.0718120616818595e-05
88,0.2751878936290741,0.95875,0.35804785776138304,0.911,0.96936,4.0516222814497914e-05
89,0.27645214307308197,0.96075,0.3775289812088013,0.904,0.9627840000000001,4.0312678314128177e-05
90,0.275540083527565,0.95875,0.36637909412384034,0.908,0.9626639999999999,4.010750943665757e-05
91,0.270710404753685,0.95825,0.37936747598648074,0.898,0.9658200000000001,3.990073868116557e-05
92,0.2664301166534424,0.962,0.3685320901870728,0.898,0.966124,3.9692388722395614e-05
93,0.27052613425254823,0.962,0.35117407178878784,0.913,0.9724039999999999,3.9482482408268564e-05
94,0.2719959993362427,0.96,0.37326596927642824,0.908,0.970328,3.9271042757377185e-05
95,0.27322030782699586,0.9575,0.4211421971321106,0.869,0.9528880000000002,3.905809295646191e-05
96,0.2724868111610413,0.9615,0.3574260849952698,0.907,0.9680599999999999,3.884365635786814e-05
97,0.26305520617961886,0.96625,0.37664847159385684,0.901,0.956804,3.86277564769854e-05
98,0.26760868322849274,0.96225,0.3701187181472778,0.91,0.962864,3.8410416989668584e-05
99,0.25701015222072604,0.966,0.39077154421806337,0.9,0.957936,3.819166172964167e-05
100,0.2591899576187134,0.96925,0.3814172823429108,0.906,0.959172,3.797151468588408e-05
