epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.9286819667816162,0.593,0.6142213859558106,0.675,0.7233640000000001,0.0001
2,0.6259048609733582,0.658,0.59426904296875,0.689,0.764324,9.999728588359285e-05
3,0.5735510520935059,0.71,0.7986037726402283,0.668,0.748364,9.998914383200485e-05
4,0.5108040323257447,0.753,0.44834767723083496,0.799,0.88864,9.997557473810371e-05
5,0.4689049286842346,0.78575,0.40333508896827697,0.827,0.899336,9.995658008989348e-05
6,0.4223636121749878,0.80825,0.4165767140388489,0.819,0.883184,9.993216197035139e-05
7,0.4123591556549072,0.815,0.5040529050827026,0.761,0.84724,9.990232305719943e-05
8,0.41244896268844605,0.8185,0.39143039178848266,0.85,0.91954,9.986706662261065e-05
9,0.3849621903896332,0.831,0.3226667878627777,0.866,0.93516,9.982639653285045e-05
10,0.3817207112312317,0.83275,0.2968538055419922,0.875,0.945328,9.978031724785244e-05
11,0.35603058052062986,0.84,0.2951072371006012,0.872,0.9452,9.972883382072951e-05
12,0.35709212493896486,0.84,0.27500992369651794,0.885,0.95156,9.96719518972196e-05
13,0.34625066542625427,0.8465,0.33783499884605406,0.873,0.93484,9.960967771506664e-05
14,0.3596954600811005,0.84275,0.3425080783367157,0.852,0.935028,9.954201810333643e-05
15,0.3412436761856079,0.84825,0.29185339450836184,0.886,0.945852,9.94689804816679e-05
16,0.33212571692466736,0.85875,0.2951426784992218,0.885,0.9469559999999999,9.93905728594593e-05
17,0.33734988045692443,0.85825,0.309730592250824,0.89,0.947164,9.930680383498997e-05
18,0.3177238781452179,0.86275,0.2780251712799072,0.89,0.952708,9.921768259447744e-05
19,0.3145056900978088,0.8645,0.286080397605896,0.89,0.95294,9.912321891107008e-05
20,0.3065500683784485,0.87375,0.3319186837673187,0.89,0.948268,9.902342314377522e-05
21,0.3063477294445038,0.87475,0.3019462912082672,0.891,0.951904,9.891830623632336e-05
22,0.2924633073806763,0.8745,0.371441823720932,0.89,0.946728,9.880787971596798e-05
23,0.3204588975906372,0.86575,0.2664812626838684,0.887,0.9588639999999999,9.869215569222141e-05
24,0.30180249524116515,0.8695,0.29508111071586607,0.888,0.9517760000000001,9.857114685552697e-05
25,0.2944721348285675,0.876,0.3119495151042938,0.897,0.9539,9.844486647586722e-05
26,0.2804032121896744,0.88475,0.29857925629615784,0.897,0.9557720000000001,9.831332840130885e-05
27,0.2948388857841492,0.87525,0.2764101486206055,0.902,0.957656,9.817654705648406e-05
28,0.27945518589019774,0.87875,0.2695259714126587,0.907,0.9573560000000001,9.803453744100867e-05
29,0.2728991928100586,0.884,0.36348277926445005,0.876,0.9492200000000001,9.788731512783731e-05
30,0.2936355096101761,0.8805,0.3012268521785736,0.891,0.954144,9.773489626155569e-05
31,0.297009060382843,0.87325,0.2602046384811401,0.887,0.9576720000000001,9.75772975566101e-05
32,0.2965846652984619,0.873,0.2409342954158783,0.898,0.964804,9.741453629547449e-05
33,0.27500930047035216,0.887,0.26354479146003723,0.897,0.963116,9.72466303267553e-05
34,0.27236064565181733,0.887,0.24014737176895143,0.906,0.9686520000000001,9.707359806323415e-05
35,0.25779948782920836,0.89575,0.3135305213928223,0.897,0.9603439999999999,9.689545847984861e-05
36,0.2453846035003662,0.9015,0.31209662222862244,0.898,0.960924,9.671223111161146e-05
37,0.2412518253326416,0.89675,0.2587584125995636,0.904,0.9661479999999999,9.652393605146843e-05
38,0.24846487212181093,0.90225,0.2546834533214569,0.909,0.967784,9.633059394809473e-05
39,0.24715917396545412,0.8955,0.2939769257307053,0.899,0.962916,9.613222600363077e-05
40,0.2562127006053925,0.892,0.30601436042785646,0.909,0.959964,9.592885397135706e-05
41,0.2659920499324799,0.88825,0.22907397961616516,0.912,0.9715959999999999,9.572050015330873e-05
42,0.23318243485689163,0.90775,0.2712688057422638,0.908,0.9657119999999999,9.550718739782988e-05
43,0.22911031424999237,0.904,0.3257998328208923,0.897,0.9565759999999999,9.528893909706796e-05
44,0.23556828713417052,0.90125,0.3004107463359833,0.904,0.9663919999999999,9.506577918440858e-05
45,0.23585624420642853,0.91125,0.3022956428527832,0.907,0.9622599999999999,9.483773213185093e-05
46,0.24930551290512085,0.8985,0.2744250674247742,0.903,0.968932,9.46048229473242e-05
47,0.23821475386619567,0.902,0.2818605649471283,0.897,0.960396,9.436707717194512e-05
48,0.2277115112543106,0.90375,0.2950746781826019,0.913,0.96792,9.41245208772171e-05
49,0.22040935158729552,0.90475,0.34124247217178344,0.919,0.967876,9.387718066217124e-05
50,0.22391285932064056,0.91025,0.2260282529592514,0.92,0.97642,9.362508365044939e-05
51,0.2136180430650711,0.91225,0.27572961449623107,0.915,0.971684,9.336825748732972e-05
52,0.2124205549955368,0.91425,0.2313248691558838,0.915,0.9734959999999999,9.310673033669521e-05
53,0.2137540373802185,0.91275,0.20931749558448792,0.911,0.974984,9.284053087794508e-05
