epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6709768781661988,0.592,0.6154720191955566,0.672,0.7335,5e-05
2,0.6484973845481873,0.634,0.6129919786453247,0.677,0.7614799999999999,4.999865664945505e-05
3,0.6238937978744507,0.66775,0.5040698580741882,0.824,0.8964159999999999,4.999462674513372e-05
4,0.5444479613304138,0.765,0.4834032230377197,0.819,0.92206,4.998791072896043e-05
5,0.5154278268814086,0.7775,0.4343457500934601,0.853,0.931564,4.997850933742203e-05
6,0.48176972126960754,0.8085,0.4097380249500275,0.856,0.9479720000000001,4.996642360148706e-05
7,0.4628147895336151,0.8255,0.41268518805503845,0.861,0.9440759999999999,4.9951654846492654e-05
8,0.4608112609386444,0.83075,0.3755715165138245,0.885,0.9561000000000002,4.993420469199922e-05
9,0.43868731713294984,0.846,0.3879676275253296,0.868,0.95142,4.991407505161286e-05
10,0.4295337224006653,0.85575,0.4118958430290222,0.868,0.953948,4.989126813277546e-05
11,0.42287572646141053,0.85475,0.37834405875205995,0.888,0.957068,4.986578643652269e-05
12,0.4157240731716156,0.856,0.3692948727607727,0.896,0.9598160000000001,4.983763275720971e-05
13,0.4086980841159821,0.86675,0.3767773337364197,0.883,0.958024,4.9806810182204715e-05
14,0.40824521517753604,0.86925,0.35998867988586425,0.893,0.9648680000000001,4.977332209155037e-05
15,0.4040886378288269,0.87325,0.3449611027240753,0.907,0.9694,4.9737172157593216e-05
16,0.3881642301082611,0.881,0.3510740349292755,0.905,0.9665440000000001,4.969836434458088e-05
17,0.40177217960357664,0.869,0.3514112813472748,0.91,0.9675440000000001,4.965690290822737e-05
18,0.3881080377101898,0.882,0.3657255163192749,0.888,0.9625440000000001,4.961279239524642e-05
19,0.3968866047859192,0.874,0.35124367189407346,0.903,0.966856,4.956603764285288e-05
20,0.37512687540054324,0.88875,0.3446430954933167,0.909,0.972712,4.951664377823219e-05
21,0.3721567459106445,0.88975,0.336751389503479,0.909,0.975008,4.946461621797824e-05
22,0.3762563009262085,0.8865,0.36266075348854065,0.896,0.9680280000000001,4.940996066749931e-05
23,0.3702189831733704,0.8915,0.3512940490245819,0.905,0.9709280000000001,4.935268312039243e-05
24,0.38374698400497437,0.876,0.3358911802768707,0.912,0.973528,4.929278985778609e-05
25,0.35929172551631927,0.89925,0.3472141649723053,0.901,0.9708559999999999,4.923028744765147e-05
26,0.36107347106933596,0.8965,0.34038581216335295,0.907,0.9719479999999999,4.9165182744082176e-05
27,0.3692423422336578,0.8935,0.34190832638740537,0.911,0.9724959999999999,4.909748288654263e-05
28,0.35403904688358306,0.90325,0.3348817671537399,0.916,0.974612,4.902719529908511e-05
29,0.3515176501274109,0.90375,0.33274109292030335,0.915,0.9756279999999999,4.895432768953565e-05
30,0.35752752709388735,0.9005,0.34113202834129336,0.915,0.975144,4.8878888048648786e-05
31,0.35013685047626497,0.90675,0.33184920251369476,0.914,0.976216,4.880088464923127e-05
32,0.3506284849643707,0.90425,0.32655471539497377,0.924,0.975916,4.872032604523486e-05
33,0.3507680251598358,0.905,0.3259505395889282,0.921,0.976208,4.86372210708183e-05
34,0.34143407464027403,0.911,0.33848826599121096,0.909,0.973308,4.855157883937853e-05
35,0.3451593940258026,0.9095,0.33458027052879336,0.912,0.971952,4.846340874255135e-05
36,0.3444108974933624,0.9105,0.3448792452812195,0.912,0.973016,4.837272044918144e-05
37,0.3353569252490997,0.91375,0.326094233751297,0.927,0.976232,4.827952390426216e-05
38,0.3322770781517029,0.91775,0.3386115303039551,0.912,0.9730120000000001,4.818382932784488e-05
39,0.34030229949951174,0.909,0.32613055872917174,0.922,0.976616,4.808564721391827e-05
40,0.3351531955003738,0.91675,0.33359735941886903,0.919,0.9741679999999999,4.798498832925754e-05
41,0.3408491767644882,0.91625,0.32947395884990693,0.931,0.975792,4.788186371224372e-05
42,0.32783591759204866,0.92075,0.34886469435691836,0.91,0.970612,4.777628467165318e-05
43,0.3339859926700592,0.92025,0.3251602005958557,0.925,0.9743080000000001,4.7668262785417475e-05
44,0.3296725332736969,0.92125,0.3226606225967407,0.923,0.9758959999999999,4.755780989935374e-05
45,0.3307261204719543,0.9245,0.3376288959980011,0.913,0.975968,4.744493812586561e-05
46,0.32934799695014955,0.9215,0.3329365574121475,0.916,0.9716359999999999,4.7329659842615e-05
47,0.3234267382621765,0.92225,0.32658687376976014,0.929,0.9770559999999999,4.721198769116475e-05
48,0.3299564198255539,0.92525,0.341468430519104,0.916,0.9736279999999999,4.7091934575592297e-05
49,0.3201658391952515,0.927,0.3266284112930298,0.922,0.9753,4.696951366107465e-05
50,0.3189584758281708,0.92575,0.33288546538352964,0.907,0.9727220000000001,4.684473837244464e-05
51,0.3132785942554474,0.9265,0.32645013403892514,0.923,0.97658,4.6717622392718744e-05
52,0.3175277701616287,0.92575,0.3447082140445709,0.906,0.970436,4.6588179661596617e-05
53,0.32124262177944185,0.9245,0.3358445678949356,0.918,0.97696,4.645642437393241e-05
54,0.30979617166519163,0.9315,0.326677089214325,0.92,0.9752160000000001,4.6322370978178164e-05
55,0.31247588026523593,0.92825,0.3424273662567139,0.919,0.973236,4.6186034174799365e-05
56,0.3085250384807587,0.93225,0.3389355137348175,0.911,0.9788279999999999,4.604742891466288e-05
57,0.30516941142082216,0.936,0.3315837697982788,0.921,0.975268,4.590657039739743e-05
58,0.3101001261472702,0.93125,0.3236255898475647,0.927,0.9773959999999999,4.5763474069726755e-05
59,0.30680020451545714,0.93725,0.3444108355045319,0.917,0.972864,4.5618155623775743e-05
60,0.3037007954120636,0.93375,0.33691883873939515,0.925,0.972012,4.547063099534957e-05
61,0.2963313081264496,0.94,0.35733573758602144,0.91,0.9728319999999999,4.5320916362186205e-05
62,0.30135099732875825,0.9395,0.3319991618394852,0.926,0.975296,4.51690281421823e-05
63,0.3002386804819107,0.94275,0.3327504382133484,0.921,0.972728,4.50149829915928e-05
64,0.29860909152030946,0.94075,0.34915604186058047,0.912,0.975548,4.48587978032044e-05
65,0.29312979805469513,0.94325,0.3332655974626541,0.928,0.975272,4.470048970448307e-05
66,0.30825623106956485,0.937,0.33233797693252565,0.921,0.976108,4.454007605569578e-05
67,0.29244380664825437,0.948,0.3412338088750839,0.915,0.975112,4.437757444800683e-05
68,0.29162915945053103,0.946,0.35351059985160826,0.91,0.9722120000000001,4.421300270154873e-05
69,0.2968879922628403,0.94375,0.34025158977508546,0.914,0.9767760000000001,4.404637886346802e-05
70,0.29197318291664126,0.943,0.34131355571746824,0.918,0.974672,4.387772120594625e-05
71,0.2919303741455078,0.9465,0.34315371870994565,0.918,0.973644,4.370704822419615e-05
72,0.28674450504779814,0.95175,0.3301287202835083,0.927,0.976816,4.353437863443348e-05
73,0.2989020402431488,0.9415,0.33411967229843137,0.918,0.9768920000000001,4.3359731371824576e-05
74,0.29123905730247496,0.94425,0.32779500031471254,0.923,0.976576,4.3183125588409867e-05
75,0.2918210244178772,0.94475,0.32369437074661256,0.926,0.977328,4.3004580651003675e-05
76,0.2821497030258179,0.952,0.3407896176576614,0.921,0.97496,4.282411613907041e-05
77,0.28546568715572357,0.95075,0.33870222544670103,0.918,0.9760120000000001,4.2641751842577454e-05
78,0.27729647696018217,0.9545,0.3313616983890533,0.926,0.9770640000000002,4.245750775982496e-05
79,0.28342877233028413,0.953,0.34137167847156524,0.92,0.974036,4.227140409525287e-05
80,0.2846824337244034,0.95525,0.33475163984298706,0.924,0.9745520000000001,4.208346125722518e-05
81,0.2794996807575226,0.9535,0.33597444200515747,0.913,0.975992,4.189369985579202e-05
82,0.27676347887516023,0.95725,0.3405106060504913,0.924,0.9743240000000001,4.1702140700429465e-05
83,0.2819584363698959,0.9555,0.33778092765808104,0.92,0.9740520000000001,4.150880479775758e-05
84,0.27752497911453244,0.95575,0.33540702641010284,0.926,0.9761519999999999,4.131371334923678e-05
85,0.2848393657207489,0.95325,0.33320326685905455,0.919,0.976352,4.1116887748842886e-05
86,0.2726076965332031,0.962,0.3517414813041687,0.917,0.972012,4.0918349580721e-05
87,0.2742989593744278,0.95975,0.3592911992073059,0.912,0.973428,4.0718120616818595e-05
88,0.26877436113357545,0.96175,0.32739111864566806,0.927,0.9764,4.0516222814497914e-05
89,0.2706252111196518,0.9595,0.34045489025115966,0.925,0.9778519999999999,4.0312678314128177e-05
90,0.27218763482570646,0.96275,0.33444704246520995,0.93,0.974756,4.010750943665757e-05
91,0.26931899690628053,0.95925,0.3345336344242096,0.93,0.9719559999999999,3.990073868116557e-05
92,0.26660642766952514,0.9635,0.3309939229488373,0.927,0.9737680000000001,3.9692388722395614e-05
93,0.26508634066581727,0.96425,0.34312275314331053,0.921,0.973072,3.9482482408268564e-05
94,0.25668255376815796,0.96675,0.3508782968521118,0.922,0.972744,3.9271042757377185e-05
95,0.26764533388614653,0.96275,0.34958663177490235,0.921,0.972772,3.905809295646191e-05
96,0.26146095228195193,0.966,0.3357231650352478,0.932,0.9711999999999998,3.884365635786814e-05
97,0.26904915475845337,0.96375,0.35369086980819703,0.913,0.97234,3.86277564769854e-05
98,0.25999304008483887,0.969,0.3481574207544327,0.925,0.975652,3.8410416989668584e-05
99,0.2683504103422165,0.9615,0.3393248736858368,0.929,0.9774799999999999,3.819166172964167e-05
100,0.2601138654947281,0.9655,0.3367137291431427,0.927,0.975652,3.797151468588408e-05
101,0.2685458892583847,0.9605,0.319690160036087,0.932,0.978052,3.774999999999998e-05
102,0.25945792162418363,0.96625,0.3417807025909424,0.926,0.9724479999999999,3.752714196357093e-05
103,0.25722247540950777,0.97125,0.3431631464958191,0.927,0.97322,3.7302965015492005e-05
104,0.25876959908008573,0.97,0.33606006813049316,0.931,0.976158,3.7077493739291806e-05
105,0.2538170721530914,0.97025,0.34887333154678346,0.928,0.9721040000000001,3.68507528604366e-05
106,0.25715549099445345,0.96725,0.34364766895771026,0.924,0.9729720000000001,3.662276724361888e-05
107,0.255826996922493,0.9695,0.3447818429470062,0.926,0.974148,3.639356189003071e-05
108,0.253423761844635,0.971,0.3373556652069092,0.929,0.9733120000000001,3.6163161934622015e-05
109,0.24845791006088258,0.9745,0.3418615062236786,0.925,0.9724879999999999,3.593159264334427e-05
110,0.2564682797193527,0.96975,0.34125540423393247,0.923,0.971344,3.569887941037982e-05
111,0.2541391906738281,0.97075,0.34326081800460817,0.922,0.974372,3.546504775535709e-05
112,0.25501414680480955,0.96675,0.33182008147239683,0.934,0.971964,3.523012332055211e-05
113,0.25401443684101105,0.9725,0.3381432945728302,0.923,0.9748920000000001,3.499413186807651e-05
114,0.2467805211544037,0.975,0.3541486685276031,0.928,0.9738200000000001,3.475709927705243e-05
115,0.24899201822280884,0.97475,0.3580292866230011,0.92,0.9740279999999999,3.45190515407746e-05
116,0.249198158621788,0.9715,0.3425583810806274,0.921,0.97326,3.4280014763859837e-05
117,0.24743804097175598,0.97475,0.3558991497755051,0.926,0.971764,3.404001515938446e-05
118,0.2471690310239792,0.97675,0.3399539210796356,0.932,0.9666079999999999,3.379907904600963e-05
119,0.24360395181179045,0.97725,0.35105311310291293,0.923,0.9649080000000001,3.355723284509528e-05
120,0.24395043218135834,0.97775,0.35358979535102847,0.925,0.966448,3.331450307780271e-05
121,0.24396039593219757,0.97575,0.3457484741210938,0.932,0.9673639999999999,3.3070916362186205e-05
122,0.2529427946805954,0.97075,0.3407358393669128,0.933,0.97114,3.2826499410274115e-05
123,0.24686485719680787,0.97725,0.3611660101413727,0.922,0.96618,3.258127902513955e-05
124,0.24518721139431,0.978,0.3642440311908722,0.919,0.962664,3.2335282097961115e-05
125,0.2500015515089035,0.97625,0.3538894808292389,0.923,0.968228,3.2088535605074e-05
126,0.2429051661491394,0.978,0.35541751885414125,0.926,0.9698880000000001,3.184106660501176e-05
127,0.2429909712076187,0.977,0.345197881937027,0.929,0.972792,3.159290223553893e-05
128,0.23904066109657288,0.98025,0.3340353333950043,0.927,0.973756,3.1344069710675224e-05
129,0.2422345303297043,0.9785,0.34743070673942567,0.927,0.9670079999999999,3.1094596317711055e-05
130,0.24393566989898682,0.97525,0.3490059113502502,0.927,0.9695199999999999,3.084450941421528e-05
131,0.23595049524307252,0.9815,0.37041508054733274,0.927,0.9637319999999999,3.0593836425035085e-05
132,0.24688160610198975,0.9745,0.35231180441379545,0.919,0.968272,3.0342604839288566e-05
133,0.23803965783119202,0.9845,0.3463727970123291,0.927,0.9706960000000001,3.009084220735024e-05
134,0.2363666491508484,0.98025,0.3391818356513977,0.932,0.966528,2.9838576137829777e-05
135,0.23940601074695586,0.97975,0.3628688297271728,0.926,0.9656839999999999,2.958583429454449e-05
136,0.23571941888332368,0.98175,0.3691879961490631,0.916,0.965948,2.9332644393485644e-05
137,0.240263565659523,0.979,0.35528936350345613,0.929,0.9676239999999999,2.9079034199779074e-05
138,0.24146395218372346,0.98,0.3557822172641754,0.927,0.972788,2.8825031524640445e-05
139,0.23555484664440154,0.981,0.3572900351285934,0.92,0.9658399999999999,2.857066422232544e-05
140,0.23993872606754302,0.98,0.34980852890014646,0.929,0.9690479999999999,2.831596018707522e-05
141,0.24272686219215392,0.9805,0.3456448941230774,0.93,0.972008,2.8060947350057504e-05
142,0.23940696465969086,0.9805,0.3699211678504944,0.913,0.9690919999999998,2.7805653676303592e-05
143,0.23600241911411285,0.98225,0.35287411546707154,0.928,0.968196,2.7550107161641718e-05
144,0.24008979284763335,0.9795,0.35510596227645874,0.928,0.9665400000000001,2.7294335829626965e-05
145,0.23690852773189544,0.98225,0.35234821939468386,0.926,0.9671560000000001,2.703836772846817e-05
146,0.23282223653793335,0.98475,0.3726330804824829,0.924,0.964304,2.6782230927952117e-05
147,0.23796184527873993,0.9805,0.3723455505371094,0.922,0.9616279999999999,2.6525953516365384e-05
148,0.23238818871974945,0.986,0.3791324586868286,0.917,0.964808,2.626956359741413e-05
149,0.23573153972625732,0.9835,0.3659972515106201,0.923,0.965656,2.6013089287142234e-05
150,0.23367815351486207,0.986,0.3569480094909668,0.928,0.9611040000000001,2.575655871084801e-05
151,0.23378328835964202,0.985,0.3602640175819397,0.931,0.961252,2.549999999999999e-05
152,0.23382195150852203,0.984,0.3497569818496704,0.932,0.963804,2.524344128915197e-05
153,0.2346567404270172,0.98375,0.3432741264104843,0.933,0.9590439999999999,2.498691071285775e-05
154,0.2327029962539673,0.9835,0.35163954734802244,0.931,0.96382,2.4730436402585847e-05
155,0.22909810078144074,0.98525,0.3590848002433777,0.923,0.956264,2.44740464836346e-05
156,0.23350032675266266,0.984,0.3570598464012146,0.922,0.957232,2.4217769072047866e-05
157,0.22860366427898407,0.988,0.3644423894882202,0.926,0.962184,2.396163227153182e-05
158,0.23030657601356505,0.984,0.36549792528152464,0.922,0.96253,2.3705664170373017e-05
159,0.2295323292016983,0.985,0.3826899423599243,0.916,0.966936,2.3449892838358258e-05
160,0.23054005408287048,0.9865,0.36329591464996336,0.918,0.964616,2.3194346323696387e-05
161,0.2292868562936783,0.9865,0.36864335370063783,0.925,0.958856,2.2939052649942483e-05
162,0.23060440015792846,0.98425,0.37014443063735963,0.917,0.963864,2.268403981292476e-05
163,0.23046495771408082,0.98575,0.36538013458251956,0.926,0.95902,2.2429335777674533e-05
164,0.2299148609638214,0.985,0.36332603788375856,0.926,0.9619240000000001,2.217496847535953e-05
165,0.23558545577526094,0.98375,0.35073368096351626,0.928,0.964376,2.192096580022091e-05
166,0.22456053233146667,0.98875,0.3629083834886551,0.926,0.9663679999999999,2.1667355606514336e-05
167,0.2272059396505356,0.984,0.35844447755813597,0.922,0.96444,2.1414165705455476e-05
168,0.22798361182212828,0.98575,0.3557706685066223,0.93,0.9652,2.11614238621702e-05
